t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
6,1,hs,key,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0420548915863037,0.0,0.0,0.0,0.03138141706585884,0.0,0.34372299909591675,0.0,0.0,0.0,0.0,0.0,0.0,1.0690749883651733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16213181614875793,0.0,0.0,0.0,0.0,0.0,0.0,0.027750762179493904,0.0,0.0
7,-1,base,value,1,0.6773921847343445,-3.478437900543213,-11.74978256225586,8.701170921325684,-6.779231071472168,12.458145141601562,-4.747721195220947,-3.0232114791870117,11.555822372436523,-0.09653371572494507,-6.900749206542969,-3.565755605697632,3.645537853240967,-2.6176156997680664,-14.551701545715332,6.799190521240234,2.898573875427246,-3.0687615871429443,-0.7449219226837158,13.03559398651123,18.969511032104492,6.862833023071289,-13.629962921142578,-10.440900802612305,-15.5398530960083,-1.5341246128082275,-5.650569438934326,2.0742883682250977,3.3297438621520996,6.839922904968262,-7.757543087005615,-10.015363693237305,1.1490910053253174,4.985549449920654,-1.0926876068115234,14.819198608398438,-17.379179000854492,15.804535865783691,13.827634811401367,-0.1509709358215332,1.7332677841186523,-8.270853042602539,-6.542007923126221,3.7330174446105957,-4.552372932434082,-3.282841205596924,-14.144781112670898,6.439159870147705,-11.765815734863281,8.413941383361816
7,0,hs,value,1,0.0,0.0,0.0,0.8348563313484192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5330892205238342,0.0007868001121096313,0.0,0.8999246954917908,0.0,0.0,0.0,0.0,0.0,0.8530876040458679,0.0,0.0,0.0,0.0,0.0,0.0,0.8662893772125244,0.9074106216430664,0.0,0.0,0.0,0.42056435346603394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8276993036270142,0.0,1.0991216897964478
7,1,hs,value,1,0.0,0.0,0.0,0.8518226146697998,0.0,0.0,0.0,0.0022749649360775948,0.0,0.0,0.0,0.0,0.49367755651474,0.28144755959510803,0.0,1.0987257957458496,0.0,0.0,0.0,0.0,0.0,0.9334219098091125,0.0,0.0,0.0,0.0,0.0,0.0,0.8014781475067139,1.1045303344726562,0.0,0.0,0.0,0.4396857023239136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9420742988586426,0.0,1.2393306493759155
8,-1,base,wait,-1,9.381561279296875,14.932097434997559,35.018089294433594,2.94421648979187,11.671632766723633,11.134170532226562,5.139448642730713,5.241997241973877,21.781688690185547,9.158330917358398,10.797844886779785,23.464021682739258,5.464450359344482,3.8923425674438477,18.52505874633789,4.156157493591309,15.099285125732422,4.2036452293396,12.061387062072754,13.213362693786621,26.02533721923828,5.0616021156311035,-2.99283504486084,-3.7503538131713867,-7.59773063659668,8.661831855773926,35.04100799560547,12.431135177612305,2.7017335891723633,3.9410600662231445,15.08151912689209,-3.7584917545318604,6.626825332641602,-4.1973114013671875,6.092504501342773,26.202537536621094,22.837053298950195,12.327563285827637,22.71327018737793,5.536801338195801,14.810064315795898,7.464913368225098,11.416313171386719,20.150014877319336,0.968126118183136,5.034183025360107,35.40836715698242,4.794281482696533,15.294205665588379,8.111510276794434
8,0,hs,wait,-1,0.0,0.08099492639303207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4146690368652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023723743855953217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,hs,wait,-1,0.0,0.06518985331058502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4881819486618042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011282806284725666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-1,base,wait,-1,1.9912242889404297,1.2275209426879883,19.558828353881836,2.9808340072631836,-12.608484268188477,-7.249464988708496,3.0528883934020996,-0.46757352352142334,8.599906921386719,2.9631049633026123,1.0196833610534668,15.375287055969238,-2.567917823791504,-0.2504357099533081,0.7942724227905273,2.8232953548431396,1.5595721006393433,-0.5053629875183105,-0.9692611694335938,-2.941455125808716,12.103069305419922,0.3014320433139801,-6.947318077087402,1.5344789028167725,-7.127078056335449,-1.3864154815673828,17.946369171142578,3.1603617668151855,0.19131052494049072,3.127336025238037,-1.6121402978897095,-0.46180105209350586,2.8386669158935547,1.371880292892456,0.8987143039703369,14.106528282165527,12.309025764465332,-4.862743377685547,8.856518745422363,-18.001224517822266,1.3540358543395996,-0.41081446409225464,-0.23471152782440186,7.669183731079102,-22.318384170532227,-0.4952383041381836,17.670541763305664,0.5226966738700867,-6.478390693664551,4.974095821380615
9,0,hs,wait,-1,0.0,0.0,0.0,0.3701336085796356,0.0,0.0,0.0,0.04920482635498047,0.0,0.0,0.0,2.0414488315582275,0.0,0.02952827699482441,0.0,0.029642349109053612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307790666818619,0.08745547384023666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011521800479386002,0.0,0.0,0.0,0.01339845359325409
9,1,hs,wait,-1,0.0,0.0,0.0,0.3887680768966675,0.0,0.0,0.0,0.0403711274266243,0.0,0.0,0.0,2.3448143005371094,0.0,0.16511332988739014,0.0,0.18118855357170105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10409371554851532,0.2362610548734665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11114862561225891
10,-1,base,query,1,11.202122688293457,1.9375977516174316,5.368006229400635,3.8510985374450684,4.51371955871582,5.484515190124512,5.284977436065674,3.7549047470092773,5.209686279296875,4.534569263458252,3.7812604904174805,3.8105175495147705,3.838715076446533,2.7788195610046387,4.920747756958008,3.769547700881958,2.3566946983337402,3.6722960472106934,6.480205535888672,5.048315048217773,5.546297073364258,4.520320892333984,4.14295768737793,4.281350135803223,4.076632499694824,2.707685708999634,4.9846978187561035,4.952750205993652,3.6984944343566895,4.295241832733154,4.808511257171631,4.071077823638916,3.093503713607788,3.2299351692199707,4.992696285247803,5.44275426864624,5.123910427093506,5.390923023223877,5.370487213134766,5.23622989654541,2.3098745346069336,4.400519371032715,8.226452827453613,4.9324188232421875,5.084883689880371,4.0728583335876465,5.006741046905518,4.200262546539307,4.4512128829956055,2.3778510093688965
10,0,hs,query,1,7.797753810882568,0.0,0.0,0.015632376074790955,0.0,0.0,0.15948158502578735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5691874027252197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0066707134246826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,hs,query,1,10.59262752532959,0.0,0.0,0.42147096991539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801161646842957,0.0,0.0,0.0,1.0223047733306885,0.0,0.0,1.1999987363815308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627693176269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4387825727462769,0.0,0.0,0.0,0.0,1.016013503074646,0.0,0.0
