epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
11,0,fw,1,1,1,0.95,0.3,12,3,2,0.9037171071112156,0.3121366886656731,0.9012543029785156,0.3158597347736359,0.7331529719591141,0.7217795542180538,0.0,0.0
12,0,fw,1,1,1,0.95,0.3,12,3,2,0.9036837871789932,0.31218546681255105,0.8947604359388351,0.3248231360986829,0.7107977637290954,0.6997631846070289,0.0,0.0
13,0,fw,1,1,1,0.95,0.3,12,3,2,0.9030385067462922,0.3133385067703202,0.8957647329866886,0.3228830849081278,0.6876293107509613,0.6774975370764732,0.0,0.0
14,0,fw,1,1,1,0.95,0.3,12,3,2,0.9034306853175164,0.31260205051004886,0.9127609872221947,0.2989856685400009,0.6665133343815803,0.656571321040392,0.0,0.0
15,0,fw,1,1,1,0.95,0.3,12,3,2,0.9041313007116317,0.3117311515722424,0.8990257194042206,0.3182682938426733,0.6458785704374314,0.6328704740703106,0.0,0.0
16,0,fw,1,1,1,0.95,0.3,12,3,2,0.9027248449325561,0.31375302790626886,0.9156424640417099,0.2954594470337033,0.6247022340089082,0.6152933356463909,0.0,0.0
17,0,fw,1,1,1,0.95,0.3,12,3,2,0.9039435299515725,0.3118743169315159,0.8994677520394325,0.31760998759418724,0.6053387619078159,0.5966718600690365,0.0,0.0
18,0,fw,1,1,1,0.95,0.3,12,3,2,0.9033814755439759,0.31283678267896176,0.8988460233807564,0.31808495601266623,0.5860460403591394,0.5776250637769699,0.0,0.0
19,0,fw,1,1,1,0.95,0.3,12,3,2,0.9020661413133144,0.31494660348091275,0.9024291399717331,0.31320076105743644,0.5680701051533222,0.5586528588682413,0.0,0.0
20,0,fw,1,1,1,0.95,0.3,12,3,2,0.9030677440822125,0.3133454009965062,0.9076033106446266,0.3056229080967605,0.5496493516802787,0.5407416195124388,0.0,0.0
21,0,fw,1,1,1,0.95,0.3,12,3,2,0.9025601068139076,0.3141801263585687,0.9048336931467056,0.30890700294077394,0.5327227120459079,0.5236527716219426,0.0,0.0
22,0,fw,1,1,1,0.95,0.3,12,3,2,0.9031444042503833,0.3131930483331904,0.9034009281098843,0.31196700255572796,0.5154172877848149,0.5076640469282866,0.0,0.0
23,0,fw,1,1,1,0.95,0.3,12,3,2,0.9034457040727139,0.3126679730284959,0.9156869255006314,0.2951516514196992,0.49994650461673734,0.4934385518431664,0.0,0.0
24,0,fw,1,1,1,0.95,0.3,12,3,2,0.9032056488454342,0.31320604411140085,0.895158538222313,0.32440172250196336,0.4842055121213198,0.4767978465408087,0.0,0.0
25,0,fw,1,1,1,0.95,0.3,12,3,2,0.903204152226448,0.3129802928291261,0.8948627782762051,0.3244627274945378,0.46950536057949066,0.46246895064413546,0.0,0.0
26,0,fw,1,1,1,0.95,0.3,12,3,2,0.9034927193164826,0.3127351197835989,0.9014561208486557,0.3148098995760083,0.45485597431659697,0.4475285142660141,0.0,0.0
27,0,fw,1,1,1,0.95,0.3,12,3,2,0.901856853801012,0.315300848583132,0.9064605616033077,0.3092702936977148,0.4417184352934361,0.4359062019437551,0.0,0.0
28,0,fw,1,1,1,0.95,0.3,12,3,2,0.904006626623869,0.31172944904286415,0.8972967177629471,0.320483954668045,0.42798252604603765,0.42251720997691156,0.0,0.0
29,0,fw,1,1,1,0.95,0.3,12,3,2,0.9037102244436741,0.3121935371551663,0.8966592833995819,0.32193800500035286,0.41489855663478376,0.40963685083389284,0.0,0.0
30,0,fw,1,1,1,0.95,0.3,12,3,2,0.9029362166762352,0.3134286662694067,0.9056420801281929,0.31167389495298264,0.40205203874111173,0.3955463215857744,0.0,0.0
31,0,fw,1,1,1,0.95,0.3,12,3,2,0.9036784055054188,0.31223828718699514,0.9009181534945965,0.3157296480983496,0.39033352307379243,0.3854524780809879,0.0,0.0
32,0,fw,1,1,1,0.95,0.3,12,3,2,0.9032505031108856,0.31309116035122425,0.9029594603478909,0.3128802499473095,0.37924300645589826,0.37300465027987956,0.0,0.0
33,0,fw,1,1,1,0.95,0.3,12,3,2,0.902615620303154,0.3140318117629737,0.8989856528043747,0.3178503144532442,0.3679278067469597,0.36266750797629355,0.0,0.0
34,0,fw,1,1,1,0.95,0.3,12,3,2,0.9033633516490459,0.3127335451748222,0.893421374231577,0.32646241173893215,0.35728421523571013,0.3523950917422771,0.0,0.0
35,0,fw,1,1,1,0.95,0.3,12,3,2,0.9021287610113621,0.314751545442082,0.9058400996923447,0.3098148748129606,0.346212263572216,0.3415114810317755,0.0,0.0
